original_nombre,substitute_nombre,similarity_score,reason,vegan_safe,gluten_free_safe,cost_ratio
aceite de coco,manteca vegetal,0.9967,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,0.67
aceite de coco,aceite vegetal,0.9927,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,0.44
aceite de coco,aceite de girasol,0.9927,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,0.44
aceite de coco,aceite de oliva,0.991,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,0.89
aceite de coco,margarina vegana,0.9871,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,0.89
aceite de girasol,aceite de girasol,1.0,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,1.0
aceite de girasol,aceite de oliva,0.9991,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,2.0
aceite de girasol,manteca vegetal,0.9965,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,1.5
aceite de girasol,margarina vegana,0.9955,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,2.0
aceite de girasol,mantequilla,0.9944,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",False,True,3.0
aceite de oliva,aceite vegetal,0.9991,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,0.5
aceite de oliva,aceite de girasol,0.9991,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,0.5
aceite de oliva,manteca vegetal,0.9967,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,0.75
aceite de oliva,margarina vegana,0.9932,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,1.0
aceite de oliva,aceite de coco,0.991,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,1.12
aceite vegetal,aceite de girasol,1.0,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,1.0
aceite vegetal,aceite de oliva,0.9991,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,2.0
aceite vegetal,manteca vegetal,0.9965,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,1.5
aceite vegetal,margarina vegana,0.9955,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,2.0
aceite vegetal,mantequilla,0.9944,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",False,True,3.0
agar agar,agar agar,1.0,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,1.0
agar agar,goma xantana,0.9931,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,2.08
agar agar,psyllium husk,0.9822,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,1.5
agar agar,gel de linaza,0.9226,"Similar en: poder aglutinante, nivel de dulzor, capacidad leudante",True,True,0.5
agar agar,gel de chia,0.9196,"Similar en: poder aglutinante, contenido graso, nivel de dulzor, capacidad leudante",True,True,0.67
aguacate,queso crema,0.9738,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",False,True,4.0
aguacate,mantequilla,0.9639,"Similar en: poder aglutinante, aporte de humedad, nivel de dulzor, capacidad leudante",False,True,2.4
aguacate,margarina vegana,0.9623,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,1.6
aguacate,harina de almendra,0.9611,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,3.6
aguacate,crema,0.9555,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",False,True,1.2
algarroba en polvo,xilitol,0.957,"Similar en: poder aglutinante, aporte de humedad, contenido graso, capacidad leudante",True,True,1.67
algarroba en polvo,eritritol,0.957,"Similar en: poder aglutinante, aporte de humedad, contenido graso, capacidad leudante",True,True,1.5
algarroba en polvo,stevia,0.9397,"Similar en: poder aglutinante, aporte de humedad, contenido graso, capacidad leudante",True,True,2.08
algarroba en polvo,cacao en polvo,0.9353,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,1.25
algarroba en polvo,canela,0.9311,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,0.83
almidon de maiz,tapioca,0.9923,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,1.67
almidon de maiz,almidon de papa,0.9859,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,1.33
almidon de maiz,harina de garbanzo,0.976,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,1.33
almidon de maiz,harina de trigo,0.9738,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,False,0.3
almidon de maiz,semola,0.9738,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,False,0.33
almidon de papa,almidon de maiz,0.9859,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,0.75
almidon de papa,harina de garbanzo,0.9843,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,1.0
almidon de papa,tapioca,0.9825,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,1.25
almidon de papa,harina integral,0.9612,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,False,0.3
almidon de papa,harina de quinoa,0.9311,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,2.0
aquafaba,yogur natural,0.9792,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",False,True,2.0
aquafaba,yogur vegano,0.9692,"Similar en: aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,3.0
aquafaba,gel de chia,0.9475,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,4.0
aquafaba,tofu sedoso,0.9418,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,2.5
aquafaba,psyllium husk,0.9292,"Similar en: poder aglutinante, contenido graso, nivel de dulzor, capacidad leudante",True,True,9.0
avena,harina de avena,0.9179,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,1.5
avena,harina de quinoa,0.9028,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,True,4.0
avena,harina integral,0.9016,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,False,0.6
avena,semola,0.8892,"Similar en: poder aglutinante, aporte de humedad, contenido graso, nivel de dulzor, capacidad leudante",True,False,0.5
